DescriptorName,TreeNumber
History of Nursing,K01.400.608
Histrionic Personality Disorder,F03.675.400
HIV,B04.820.650.589.650.350
HIV Seropositivity,C01.221.250.875.500
HIV Seropositivity,C01.221.812.640.400.500
HIV Seropositivity,C01.778.640.400.500
HIV Seropositivity,C01.925.782.815.616.400.500
HIV Seropositivity,C01.925.813.400.500
HIV Seropositivity,C12.100.937.640.400.500
HIV Seropositivity,C20.673.480.500
HLA Antigens,D23.050.301.500.450
HLA Antigens,D23.050.705.552.450
HLA-D Antigens,D12.776.395.550.509.400
HLA-D Antigens,D12.776.543.550.440.400
HLA-D Antigens,D23.050.301.500.400.400
HLA-D Antigens,D23.050.301.500.450.400
HLA-D Antigens,D23.050.705.552.410.400
HLA-D Antigens,D23.050.705.552.450.400
HLA-DP Antigens,D12.776.395.550.509.400.420
HLA-DP Antigens,D12.776.543.550.440.400.420
HLA-DP Antigens,D23.050.301.500.400.400.420
HLA-DP Antigens,D23.050.301.500.450.400.420
HLA-DP Antigens,D23.050.705.552.410.400.420
HLA-DP Antigens,D23.050.705.552.450.400.420
HLA-DQ Antigens,D12.776.395.550.509.400.430
HLA-DQ Antigens,D12.776.543.550.440.400.430
HLA-DQ Antigens,D23.050.301.500.400.400.430
HLA-DQ Antigens,D23.050.301.500.450.400.430
HLA-DQ Antigens,D23.050.705.552.410.400.430
HLA-DQ Antigens,D23.050.705.552.450.400.430
HLA-DR Antigens,D12.776.395.550.509.400.440
HLA-DR Antigens,D12.776.543.550.440.400.440
HLA-DR Antigens,D23.050.301.500.400.400.440
HLA-DR Antigens,D23.050.301.500.450.400.440
HLA-DR Antigens,D23.050.705.552.410.400.440
HLA-DR Antigens,D23.050.705.552.450.400.440
Hoarseness,C08.360.940.490
Hoarseness,C08.618.490
Hoarseness,C09.400.940.490
Hoarseness,C10.597.975.550
Hoarseness,C23.888.592.979.550
Hoarseness,C23.888.852.490
Hobbies,I03.450.642.469
Hockey,I03.450.642.845.475
Hodgkin Disease,C04.557.386.355
Hodgkin Disease,C15.604.515.569.355
Hodgkin Disease,C20.683.515.761.355
Bisbenzimidazole,D03.633.100.103.145
Classical Swine Fever,C01.925.782.350.675.200
Classical Swine Fever,C22.905.170
Classical Swine Fever Virus,B04.820.578.344.700.125
Holidays,I03.450.345
Holistic Health,E02.190.321
Holistic Health,K01.752.667.710
Holistic Health,N01.400.350
Holmium,D01.268.558.362.492
Holmium,D01.552.550.399.492
Holography,E01.370.350.400.500
Holography,E01.370.350.600.300
Holothurin,D09.408.782.350
Holothurin,D23.946.580.450
Holtzman Inkblot Test,F04.711.647.622.341.387
Home Care Services,N02.421.143.524
Home Care Services,N02.421.539.089
Home Childbirth,G08.686.784.769.490.062.500
Home Nursing,E02.760.611.470
Home Nursing,N02.421.143.524.470
Home Nursing,N02.421.533.320
Homing Behavior,F01.145.113.646
Ill-Housed Persons,M01.325
Homemaker Services,N02.421.143.524.595
Homeopathy,E02.190.388
Homeostasis,G07.410
Homes for the Aged,J03.775.462
Homes for the Aged,N02.278.825.462
Homicide,I01.198.240.470
Homicide,I01.880.735.344
Homoarginine,D12.125.068.050.400
Homoarginine,D12.125.095.104.400
Homocysteine,D02.886.030.498
Homocysteine,D12.125.166.498
Homocystine,D02.886.030.554
Homocystine,D12.125.095.533
Homocystine,D12.125.119.658
Homocystine,D12.125.166.554
Homocystinuria,C10.228.140.163.100.365
Homocystinuria,C16.320.565.100.480.500
Homocystinuria,C16.320.565.189.365
Homocystinuria,C17.300.428
Homocystinuria,C18.452.132.100.365
Homocystinuria,C18.452.648.100.480.500
Homocystinuria,C18.452.648.189.365
Homogentisic Acid,D02.241.223.601.421
Homoserine,D12.125.526
Homoserine Dehydrogenase,D08.811.682.047.820.300
Homosexuality,F01.145.802.975.500
Homosexuality,G08.686.867.500
Homosteroids,D04.210.500.496
Homovanillic Acid,D02.241.223.601.521
Homozygote,G05.380.554
Honduras,Z01.107.169.534
Honey,G07.203.300.581
Honey,J02.500.581
Hong Kong,Z01.252.474.164.450
Hoof and Claw,A13.491
Hookworm Infections,C01.610.335.508.700.775.455
Hordeolum,C01.150.252.289.400
Hordeolum,C01.375.354.400
Hordeolum,C11.294.354.400
Hordeolum,C11.338.648
Hormone Antagonists,D06.347
Hormone Antagonists,D27.505.696.399.450
Hormones,D06.472
Hormones,D27.505.696.399.472
"Hormones, Ectopic",D06.472.397
"Hormones, Ectopic",D23.101.140.375
"Hormones, Hormone Substitutes, and Hormone Antagonists",D06
"Hormones, Hormone Substitutes, and Hormone Antagonists",D27.505.696.399
Horner Syndrome,C10.177.350
Horner Syndrome,C10.597.690.362.500
Horner Syndrome,C11.710.528.500
Horner Syndrome,C23.888.592.708.362.500
Horns,A13.507
Horse Diseases,C22.488
Horseradish Peroxidase,D08.811.682.732.512
Horses,B01.050.150.900.649.313.984.235.472
Horseshoe Crabs,B01.050.500.131.450
Hospices,N02.278.421.556.185
Hospices,N02.421.143.550
Hospital Administration,H02.309
Hospital Administration,N02.278.216.500
Hospital Administration,N04.452.442.452
Hospital Administrators,M01.526.070.490.490
Hospital Administrators,M01.526.485.430.490
Hospital Administrators,M01.526.485.740.380
Hospital Administrators,N02.360.430.490
Hospital Administrators,N02.360.740.380
Hospital Auxiliaries,N03.540.630.630
Hospital Bed Capacity,N02.278.306.472
"Hospital Bed Capacity, under 100",N02.278.306.472.080
"Hospital Bed Capacity, 100 to 299",N02.278.306.472.120
"Hospital Bed Capacity, 300 to 499",N02.278.306.472.180
"Hospital Bed Capacity, 500 and over",N02.278.306.472.300
Hospital Communication Systems,N02.278.216.500.937
Hospital Communication Systems,N04.452.442.452.322
Hospital Departments,N02.278.216.500.968
Hospital Departments,N04.452.442.452.422
Hospital Design and Construction,J01.086.339.250
Hospital Design and Construction,N02.278.200.403
Hospital Distribution Systems,N02.278.216.500.984
Hospital Distribution Systems,N04.452.442.452.450
Hospital Information Systems,N04.452.442.452.452
Hospital Information Systems,N04.452.515.360
Hospital Planning,N03.349.650.250.200
Hospital Records,E05.318.308.940.425
Hospital Records,L01.399.250.900.425
Hospital Records,N04.452.859.380
Hospital Records,N05.715.360.300.715.380
Hospital Records,N06.850.520.308.940.425
Hospital Restructuring,N02.278.216.500.988
Hospital Restructuring,N04.452.442.452.550
Hospital Shared Services,N02.278.216.500.990
Hospital Shared Services,N04.452.442.452.565
Hospital Shared Services,N04.452.540.308
Hospital Shops,N02.278.216.500.991
Hospital Shops,N04.452.442.452.585
Hospital Units,N02.278.388
Hospital Volunteers,M01.526.485.740.400
Hospital Volunteers,M01.955.473
Hospital Volunteers,N02.360.740.400
Hospital-Physician Joint Ventures,N02.278.216.500.988.380
Hospital-Physician Joint Ventures,N04.452.442.452.550.380
Hospitalization,E02.760.400
Hospitalization,N02.421.585.400
Hospitals,N02.278.421
"Hospitals, Animal",N02.278.421.280
"Hospitals, Animal",N06.230.150.360.250.200
"Hospitals, Chronic Disease",N02.278.421.556.200
"Hospitals, Community",N02.278.421.306
"Hospitals, Convalescent",N02.278.421.556.294
"Hospitals, County",N02.278.421.510.100
"Hospitals, District",N02.278.421.510.140
"Hospitals, Federal",N02.278.421.510.180
"Hospitals, General",N02.278.421.389
"Hospitals, Group Practice",N02.278.421.395
"Hospitals, Maternity",N02.278.421.556.366
"Hospitals, Military",N02.278.421.510.180.250
"Hospitals, Municipal",N02.278.421.510.210
"Hospitals, Municipal",N02.278.421.660.400
"Hospitals, Osteopathic",N02.278.421.556.386
"Hospitals, Packaged",E07.325.473
"Hospitals, Pediatric",N02.278.421.556.437
"Hospitals, Proprietary",N02.278.215.110
"Hospitals, Proprietary",N02.278.421.481.500
"Hospitals, Psychiatric",N02.278.421.556.508
"Hospitals, Public",N02.278.421.510
"Hospitals, Rural",N02.278.421.518
"Hospitals, Satellite",N02.278.421.530
"Hospitals, Special",N02.278.421.556
"Hospitals, State",N02.278.421.510.300
"Hospitals, Teaching",N02.278.020.300
"Hospitals, Teaching",N02.278.421.639
"Hospitals, University",N02.278.020.300.310
"Hospitals, University",N02.278.421.639.725
"Hospitals, Urban",N02.278.421.660
"Hospitals, Veterans",N02.278.421.510.180.400
"Hospitals, Voluntary",N02.278.421.481.800
Host vs Graft Reaction,G12.875.545
Host-Parasite Interactions,G16.527.200.400
Hostility,F01.470.596
House Calls,N04.452.758.307
Houseflies,B01.050.500.131.617.720.500.500.750.642.470
Household Articles,J01.494
Household Products,J01.516
Household Work,N02.508
"Housekeeping, Hospital",N02.278.216.500.968.412
"Housekeeping, Hospital",N02.508.472
"Housekeeping, Hospital",N04.452.442.452.422.412
Housing,J03.340
Housing,N01.224.791.400
Housing,N06.230.150.360
Housing,N06.850.505.400.800.400
"Housing, Animal",J03.340.250
"Housing, Animal",N06.230.150.360.250
Deltaretrovirus Infections,C01.925.782.815.200
Deltaretrovirus Infections,C20.673.483
Humans,B01.050.150.900.649.313.988.400.112.400.400
Human Activities,I03
Human Development,F01.525
Human Development,G07.345.374
Ergonomics,F02.784.412
Ergonomics,J01.293.556
Human Experimentation,E05.445
Human Experimentation,H01.770.644.145.365
Human Rights,I01.880.604.473
Human Rights,N03.706.437
Humanism,K01.752.566.479.174
Humanism,N05.350.835
Humanities,K01
Humeral Fractures,C26.088.390
Humeral Fractures,C26.404.500
Humerus,A02.835.232.087.090.400
Humic Substances,D02.241.444
Humic Substances,D02.455.426.559.389.657.377
Humic Substances,D20.721.500
Humidity,G16.500.275.063.725.310
Humidity,G16.500.750.775.310
Humidity,N06.230.150.372
Humidity,N06.230.300.100.725.310
Hungary,Z01.542.248.495
Hunger,F01.658.293.391
Hunger,G07.203.650.390
Hunger,G10.261.390
Huntington Disease,C10.228.140.079.545
Huntington Disease,C10.228.140.380.278
Huntington Disease,C10.228.662.262.249.750
Huntington Disease,C10.574.500.497
Huntington Disease,C16.320.400.430
Huntington Disease,F03.615.250.400
Huntington Disease,F03.615.400.390
Hyalin,A12.580
Hyaline Membrane Disease,C08.381.840.500.475
Hyaline Membrane Disease,C08.618.840.500.475
Hyaline Membrane Disease,C16.614.521.563.475
Hyaluronic Acid,D09.698.373.475
Hyaluronoglucosaminidase,D08.811.277.450.529
Hyaluronoglucosaminidase,D08.811.520.241.700.675
Hybrid Cells,A11.251.600
Hybrid Vigor,G05.400
"Hybridization, Genetic",E05.820.150.390
"Hybridization, Genetic",G05.090.390
Hybridomas,A11.251.353.485
Hybridomas,A11.251.600.485
Hycanthone,D02.886.952.450
Hycanthone,D03.633.300.953.704.450
Hydantoins,D03.383.129.308.432.555
Hydatidiform Mole,C04.557.465.955.416.812
Hydatidiform Mole,C04.850.908.416.750
Hydatidiform Mole,C12.050.703.720.949.416.875
Hydra,B01.050.500.308.485.400
Hydralazine,D03.383.710.605.500
Polyhydramnios,C12.050.703.610
Hydranencephaly,C10.500.450
Hydranencephaly,C16.131.666.450
Hydrarthrosis,C05.550.509
Hydrazines,D02.442
Hydrazones,D02.442.288
Hydro-Lyases,D08.811.520.241.300
Hydroa Vacciniforme,C17.800.600.425
Hydroa Vacciniforme,C17.800.865.575
Hydrocarbons,D02.455
"Hydrocarbons, Acyclic",D02.455.326
"Hydrocarbons, Alicyclic",D02.455.426.392
"Hydrocarbons, Aromatic",D02.455.426.559
"Hydrocarbons, Brominated",D02.455.526.368
"Hydrocarbons, Chlorinated",D02.455.526.439
"Hydrocarbons, Cyclic",D02.455.426
"Hydrocarbons, Fluorinated",D02.455.526.510
"Hydrocarbons, Halogenated",D02.455.526
"Hydrocarbons, Iodinated",D02.455.526.581
Testicular Hydrocele,C12.100.500.882
Testicular Hydrocele,C12.200.294.882
Hydrocephalus,C10.228.140.602
"Hydrocephalus, Normal Pressure",C10.228.140.602.750
Hydrochloric Acid,D01.029.260.326
Hydrochloric Acid,D01.210.450
Hydrochlorothiazide,D02.886.590.700.135.261.476
Hydrochlorothiazide,D02.886.655.500.261.476
Hydrochlorothiazide,D03.633.100.174.261.476
Hydrocodone,D03.132.577.249.562.149.287
Hydrocodone,D03.605.497.607.204.540
Hydrocodone,D03.633.400.686.607.204.540
Hydrocodone,D04.615.723.795.576.149.287
Hydrocortisone,D04.210.500.745.745.654.600
Hydrocortisone,D06.472.040.585.353.476
Hydrocortisone,D06.472.040.585.478.392
Hydrogen Cyanide,D01.029.260.330
Hydrogen Cyanide,D01.625.400
Hydroflumethiazide,D02.886.590.700.135.475
Hydroflumethiazide,D02.886.655.500.475
Hydroflumethiazide,D03.633.100.174.475
Hydrofluoric Acid,D01.029.260.328
Hydrofluoric Acid,D01.303.350
Hydrogen,D01.268.406
Hydrogen,D01.362.340
Hydrogen Bonding,G02.282
Hydrogen Peroxide,D01.248.497.158.685.750.424
Hydrogen Peroxide,D01.339.431.374.424
Hydrogen Peroxide,D01.650.550.750.400
Hydrogen Peroxide,D02.389.338.253
Hydrogen Sulfide,D01.029.260.340
Hydrogen Sulfide,D01.362.350
Hydrogen Sulfide,D01.875.350
Hydrogen-Ion Concentration,G02.300
Hydrogenase,D08.811.682.400
Hydrogenation,G02.111.380
Hydrogenation,G02.607.324
Hydrogenation,G03.409
Hydrolases,D08.811.277
Hydrolysis,G02.380
Hydronephrosis,C12.050.351.968.419.307
Hydronephrosis,C12.200.777.419.307
Hydronephrosis,C12.950.419.307
Hydrophthalmos,C11.250.480
Hydrophthalmos,C11.525.381.407.480
Hydrophthalmos,C16.131.384.480
Hydrophthalmos,C16.614.438
Hydropneumothorax,C08.528.434
Hydroquinones,D02.455.426.559.389.657.393
Hydrostatic Pressure,G01.374.715.352
Hydrotherapy,E02.779.492
Hydrotherapy,E02.831.535.492
Hydrothorax,C08.528.476
Hydroxamic Acids,D02.092.570.394
Hydroxamic Acids,D02.241.511.372
Hydroxides,D01.045.250
Hydroxides,D01.248.497.158.459
Hydroxocobalamin,D03.383.129.578.840.437.777.560
Hydroxocobalamin,D03.633.400.909.437.777.560
Hydroxocobalamin,D04.345.783.437.777.560
Hydroxy Acids,D02.241.511
Hydroxyacetylaminofluorene,D02.065.064.150.400
Hydroxyacetylaminofluorene,D02.241.081.018.110.080.400
Hydroxyacetylaminofluorene,D02.455.426.559.847.389.050.400
Hydroxyacetylaminofluorene,D04.615.389.050.400
Hydroxyapatites,D01.029.260.700.675.374.075.025.300
Hydroxyapatites,D01.146.360.050.300
Hydroxyapatites,D01.578.122.477
Hydroxyapatites,D01.695.625.675.650.075.025.300
Hydroxybutyrate Dehydrogenase,D08.811.682.047.820.350
Hydroxybutyrates,D02.241.081.114.937
Hydroxybutyrates,D02.241.511.429
Hydroxybutyrates,D10.251.400.143.781
Hydroxychloroquine,D03.633.100.810.050.180.350
Hydroxycholecalciferols,D04.210.500.247.222.159.478
Hydroxycholecalciferols,D04.210.500.247.808.146.478
Hydroxycholecalciferols,D04.210.500.812.768.196.478
Hydroxycholecalciferols,D10.570.938.146.478
Hydroxycholesterols,D04.210.500.247.222.284.800.500
Hydroxycholesterols,D04.210.500.247.808.197.800.500
Hydroxycholesterols,D10.570.938.208.825.500
Hydroxycorticosteroids,D06.472.040.585
Hydroxydopamines,D02.092.311.342.478
Hydroxydopamines,D02.455.426.559.389.657.166.175.342.478
Hydroxyeicosatetraenoic Acids,D10.251.355.255.100.300
Hydroxyeicosatetraenoic Acids,D10.251.355.310.166.550
Hydroxyestrones,D02.455.426.559.389.657.166.350.350
Hydroxyestrones,D04.210.500.365.415.414.400
Hydroxyestrones,D04.210.500.578.502.497.400
Hydroxyestrones,D06.472.334.851.437.984.350
Hydroxyethyl Starch Derivatives,D09.301.915.500
Hydroxyethyl Starch Derivatives,D09.698.365.855.500
Hydroxyethylrutoside,D03.383.663.283.266.450.284.888.500
Hydroxyethylrutoside,D03.633.100.150.266.450.284.888.500
Hydroxyindoleacetic Acid,D03.066.288.478
Hydroxyindoleacetic Acid,D03.633.100.473.404.478
Hydroxylamines,D02.092.570
Mixed Function Oxygenases,D08.811.682.690.708
Hydroxylation,G02.111.385
Hydroxylation,G02.607.348
Hydroxylation,G03.425
Hydroxylysine,D12.125.068.555.478
Hydroxylysine,D12.125.095.647.478
Hydroxymercuribenzoates,D02.241.223.100.300.400
Hydroxymercuribenzoates,D02.241.223.100.500.450
Hydroxymercuribenzoates,D02.241.511.390.400
Hydroxymercuribenzoates,D02.455.426.559.389.127.281.400
Hydroxymercuribenzoates,D02.455.426.559.389.127.500.450
Hydroxymercuribenzoates,D02.455.426.559.389.657.410.400
Hydroxymercuribenzoates,D02.691.750.740.644.450
Hydroxymethylglutaryl CoA Reductases,D08.811.682.047.820.150.415
Hydroxymethylglutaryl-CoA Synthase,D08.811.913.050.612
Hydroxyphenylazouracil,D03.383.742.698.875.480
17-alpha-Hydroxypregnenolone,D04.210.500.745.745.725.395
17-alpha-Hydroxypregnenolone,D06.472.040.585.745.500
17-alpha-Hydroxypregnenolone,D06.472.334.851.687.500.500
Hydroxyprogesterones,D04.210.500.745.745.654.829.395
Hydroxyprogesterones,D06.472.334.851.687.750.478
Hydroxyproline,D12.125.072.401.623.478
Hydroxypropiophenone,D02.522.818.561
Hydroxyprostaglandin Dehydrogenases,D08.811.682.047.820.375
Hydroxyquinolines,D03.633.100.810.350
Hydroxysteroid Dehydrogenases,D08.811.682.047.436
Hydroxysteroids,D04.210.500.528
Hydroxytestosterones,D04.210.500.054.079.429.824.375
5-Hydroxytryptophan,D12.125.072.050.850.479
Hydroxytryptophol,D03.633.100.473.385
Hydroxyurea,D02.065.950.395
Hydroxyzine,D03.383.606.515
Hygiene,E02.547
Hygiene,N06.850.670
Hygromycin B,D09.408.051.420
Hylobates,B01.050.150.900.649.313.988.400.112.420.390
Hymecromone,D03.383.663.283.446.912.531
Hymecromone,D03.633.100.150.446.912.531
Hymen,A05.360.319.779.479
Hymen,A10.615.550.368
Hymenolepiasis,C01.610.335.190.519
Hymenolepis,B01.050.500.500.736.215.454
Hymenoptera,B01.050.500.131.617.720.500.500.875
Hyoid Bone,A02.835.232.409
Hyperaldosteronism,C19.053.800.604
Hyperalgesia,C10.597.751.791.400
Hyperalgesia,C23.888.592.763.770.400
Hyperbaric Oxygenation,E02.880.690.490
Hyperbilirubinemia,C23.550.429
"Hyperbilirubinemia, Hereditary",C16.320.565.300
"Hyperbilirubinemia, Hereditary",C18.452.648.300
Hypercalcemia,C18.452.174.451
Hypercalcemia,C18.452.950.340
Hypercapnia,C23.888.852.544
Hypercementosis,C07.793.422
Hypercholesterolemia,C18.452.584.500.500.396
Hyperlipoproteinemia Type II,C16.320.565.398.481
Hyperlipoproteinemia Type II,C18.452.584.500.500.644.475
Hyperlipoproteinemia Type II,C18.452.584.563.481
Hyperlipoproteinemia Type II,C18.452.648.398.481
Hyperemesis Gravidarum,C12.050.703.407.500
Hyperemesis Gravidarum,C23.888.821.937.049.500
Hyperemia,C14.907.474
Hyperesthesia,C10.597.751.791.450
Hyperesthesia,C23.888.592.763.770.450
Hypergammaglobulinemia,C15.378.147.542
Hypergammaglobulinemia,C20.683.460
Hypergammaglobulinemia,C23.888.512
Hyperglycemia,C18.452.394.952
Hyperglycemic Hyperosmolar Nonketotic Coma,C19.246.099.750.490
Hyperhidrosis,C17.800.946.350
Hyperinsulinism,C18.452.394.968
Hyperkalemia,C18.452.950.396
Hyperkinesis,C10.597.350.350
Hyperkinesis,C23.888.592.350.350
Hyperlipidemias,C18.452.584.500.500
"Hyperlipidemia, Familial Combined",C16.320.565.398.450
"Hyperlipidemia, Familial Combined",C18.452.584.500.500.438
"Hyperlipidemia, Familial Combined",C18.452.584.563.450
"Hyperlipidemia, Familial Combined",C18.452.648.398.450
Hyperlipoproteinemias,C18.452.584.500.500.644
Hyperlipoproteinemia Type III,C16.320.565.398.483
Hyperlipoproteinemia Type III,C18.452.584.500.500.644.485
Hyperlipoproteinemia Type III,C18.452.584.563.483
Hyperlipoproteinemia Type III,C18.452.648.398.483
Hyperlipoproteinemia Type IV,C16.320.565.398.487
Hyperlipoproteinemia Type IV,C18.452.584.500.500.644.490
Hyperlipoproteinemia Type IV,C18.452.584.500.500.851.500
Hyperlipoproteinemia Type IV,C18.452.584.563.487
Hyperlipoproteinemia Type IV,C18.452.648.398.487
Hyperlipoproteinemia Type V,C16.320.565.398.493
Hyperlipoproteinemia Type V,C18.452.584.500.500.644.495
Hyperlipoproteinemia Type V,C18.452.584.500.500.851.750
Hyperlipoproteinemia Type V,C18.452.584.563.493
Hyperlipoproteinemia Type V,C18.452.648.398.493
Hypernatremia,C18.452.950.452
Hyperopia,C11.744.479
Hyperostosis Frontalis Interna,C05.116.099.708.486
Hyperostosis Frontalis Interna,C05.116.540.420
"Hyperostosis, Cortical, Congenital",C05.116.099.708.479
"Hyperostosis, Cortical, Congenital",C05.116.540.400
"Hyperostosis, Cortical, Congenital",C16.614.465
Hyperoxaluria,C12.050.351.968.419.313
Hyperoxaluria,C12.200.777.419.313
Hyperoxaluria,C12.950.419.313
"Hyperoxaluria, Primary",C12.050.351.968.419.313.500
"Hyperoxaluria, Primary",C12.200.777.419.313.500
"Hyperoxaluria, Primary",C12.950.419.313.500
"Hyperoxaluria, Primary",C16.320.565.202.460
"Hyperoxaluria, Primary",C18.452.648.202.460
Hyperparathyroidism,C19.642.355
"Hyperparathyroidism, Secondary",C19.642.355.480
Hyperphagia,C23.888.821.645
Hyperpituitarism,C10.228.140.617.738.250
Hyperpituitarism,C19.700.355
Hyperplasia,C23.550.444
Hyperprolactinemia,C10.228.140.617.738.250.450
Hyperprolactinemia,C19.700.355.600
Hypersensitivity,C20.543
"Hypersensitivity, Delayed",C20.543.418
"Hypersensitivity, Immediate",C20.543.480
Disorders of Excessive Somnolence,C10.886.425.800.200
Disorders of Excessive Somnolence,F03.870.400.800.200
Hypersplenism,C15.604.744.293
Hypertelorism,C05.116.099.370.231.480
Hypertelorism,C05.660.207.231.480
Hypertelorism,C16.131.621.207.231.480
Hypertension,C14.907.489
"Hypertension, Malignant",C14.907.489.330
"Hypertension, Portal",C06.552.494
"Hypertension, Pulmonary",C08.381.423
"Hypertension, Pulmonary",C14.907.489.556
"Hypertension, Renal",C12.050.351.968.419.331
"Hypertension, Renal",C12.200.777.419.331
"Hypertension, Renal",C12.950.419.331
"Hypertension, Renal",C14.907.489.631
"Hypertension, Renovascular",C12.050.351.968.419.331.490
"Hypertension, Renovascular",C12.200.777.419.331.490
"Hypertension, Renovascular",C12.950.419.331.490
"Hypertension, Renovascular",C14.907.489.631.485
"Hyperthermia, Induced",E02.565
Hyperthyroidism,C19.874.397
Hyperthyroxinemia,C19.874.410
Hypertonic Solutions,D26.776.314
Hypertrichosis,C17.800.329.875
Hypertrophy,C23.300.775
Hyperventilation,C08.618.501
Hyperventilation,C23.888.852.591
Hypervitaminosis A,C18.654.301
Hypesthesia,C10.597.751.791.500
Hypesthesia,C23.888.592.763.770.500
Hyphema,C11.290.484
Hyphema,C23.550.414.756.550
Hypnosis,E02.190.525.217
Hypnosis,F04.754.424
"Hypnosis, Anesthetic",E03.155.675
"Hypnosis, Dental",E03.155.141.481
"Hypnosis, Dental",E03.155.675.481
"Hypnosis, Dental",E06.045.481
Hypnotics and Sedatives,D27.505.696.277.350
Hypnotics and Sedatives,D27.505.954.427.210.350
Hypoaldosteronism,C19.053.500.480
Hypobetalipoproteinemias,C16.320.565.398.500.440
Hypobetalipoproteinemias,C18.452.584.500.875.440
Hypobetalipoproteinemias,C18.452.584.563.500.440
Hypobetalipoproteinemias,C18.452.648.398.500.440
Hypocalcemia,C18.452.174.509
Hypocalcemia,C18.452.950.509
Hypochlorous Acid,D01.029.260.365
Hypochlorous Acid,D01.210.465
Hypochlorous Acid,D01.339.431.311
Hypochlorous Acid,D01.650.550.400
Hypochondriasis,F03.875.450
Hypocreales,B01.300.107.501
Hypodermyiasis,C01.610.858.211.503.398
Hypogastric Plexus,A08.800.050.050.400
Hypogastric Plexus,A08.800.800.060.400
Hypoglossal Nerve,A08.800.800.120.330
Hypoglycemia,C18.452.394.984
Hypoglycemic Agents,D27.505.696.422
Hypoglycins,D02.455.426.392.368.533.450
Hypoglycins,D23.946.412
Hypogonadism,C19.391.482
Hypohidrosis,C17.800.946.370
Hypokalemia,C18.452.950.565
Hypolipoproteinemias,C16.320.565.398.500
Hypolipoproteinemias,C18.452.584.500.875
Hypolipoproteinemias,C18.452.584.563.500
Hypolipoproteinemias,C18.452.648.398.500
Hyponatremia,C18.452.950.620
Hypoparathyroidism,C19.642.482
Hypopharyngeal Neoplasms,C04.588.443.665.710.485
Hypopharyngeal Neoplasms,C07.550.745.436
Hypopharyngeal Neoplasms,C09.647.710.485
Hypopharyngeal Neoplasms,C09.775.549.485
Hypopharynx,A04.623.490
Hypopharynx,A14.724.490
Hypophosphatasia,C16.320.565.618.482
Hypophosphatasia,C18.452.648.618.482
"Hypophosphatemia, Familial",C12.050.351.968.419.815.647
"Hypophosphatemia, Familial",C12.200.777.419.815.647
"Hypophosphatemia, Familial",C12.950.419.815.647
"Hypophosphatemia, Familial",C16.320.565.618.544
"Hypophosphatemia, Familial",C16.320.831.647
"Hypophosphatemia, Familial",C18.452.648.618.544
"Hypophosphatemia, Familial",C18.452.750.400.500
Hypophysectomy,E04.270.532
Hypophysectomy,E04.525.400
"Hypophysectomy, Chemical",E04.270.532.490
Hypopituitarism,C10.228.140.617.738.300
Hypopituitarism,C19.700.482
Hypoproteinemia,C15.378.147.607
Hypoprothrombinemias,C15.378.100.100.550
Hypoprothrombinemias,C15.378.100.141.550
Hypoprothrombinemias,C15.378.463.550
Hypoprothrombinemias,C16.320.099.550
Hypospadias,C12.050.351.875.466
Hypospadias,C12.100.500.494.400
Hypospadias,C12.200.294.494.400
Hypospadias,C12.200.706.516
Hypospadias,C12.800.516
Hypospadias,C16.131.939.516
Hypotension,C14.907.514
"Hypotension, Controlled",E03.545
"Hypotension, Orthostatic",C10.177.575.600.450
"Hypotension, Orthostatic",C14.907.514.482
Anterior Hypothalamic Nucleus,A08.186.211.180.497.342.063
Anterior Hypothalamic Nucleus,A08.186.211.200.317.357.342.063
"Hypothalamic Area, Lateral",A08.186.211.180.497.300
"Hypothalamic Area, Lateral",A08.186.211.200.317.357.300
Hypothalamic Diseases,C10.228.140.617
Hypothalamic Hormones,D06.472.699.327
Hypothalamic Hormones,D12.644.400.400
Hypothalamic Hormones,D12.644.548.365
Hypothalamic Hormones,D12.776.631.650.405
Hypothalamic Neoplasms,C04.588.614.250.195.885.500
Hypothalamic Neoplasms,C10.228.140.211.885.500
Hypothalamic Neoplasms,C10.228.140.617.477
Hypothalamic Neoplasms,C10.551.240.250.700.500
Hypothalamo-Hypophyseal System,A06.688.357
Hypothalamo-Hypophyseal System,A08.186.211.180.497.352.435
Hypothalamo-Hypophyseal System,A08.186.211.200.317.357.352.435
Hypothalamo-Hypophyseal System,A08.713.357
Hypothalamus,A08.186.211.180.497
Hypothalamus,A08.186.211.200.317.357
"Hypothalamus, Anterior",A08.186.211.180.497.342
"Hypothalamus, Anterior",A08.186.211.200.317.357.342
"Hypothalamus, Middle",A08.186.211.180.497.352
"Hypothalamus, Middle",A08.186.211.200.317.357.352
"Hypothalamus, Posterior",A08.186.211.180.497.362
"Hypothalamus, Posterior",A08.186.211.200.317.357.362
Hypothermia,C23.888.119.565
"Hypothermia, Induced",E02.258.750
Hypothyroidism,C19.874.482
Hypotonic Solutions,D26.776.399
Hypotrichosis,C17.800.329.937
Hypoventilation,C08.618.846.565
Hypoventilation,C23.888.852.638
Hypoxanthine Phosphoribosyltransferase,D08.811.913.400.725.450
Hypoxanthines,D03.633.100.759.758.399
Hyraxes,B01.050.150.900.649.313.250.250
Hysterectomy,E04.950.300.399
"Hysterectomy, Vaginal",E04.950.300.399.380
Hysteria,F03.675.400.500
Hysterosalpingography,E01.370.350.700.325
Hysterosalpingography,E01.370.378.325
